Product Link,Title,Promotion,Actual Price,Discounted Price,Category,Description,Sizes
https://in.puma.com/in/en/pd/flexrate-mens-sneakers/392754?swatch=02,Flexrate Men's Sneakers,Buy 2 & Get 50% off + Extra 40% Off,"₹4,499","₹1,929",Sneakers,"The Puma Flexrate Men's Sneakers will take your game to the next level with the ultimate fusion of classic style and modern design! With a sleek textile upper and contrast PUMA Formstrip, these sneakers are sure to turn heads on and off the court. The durable outsole provides superior traction, while the PUMA cat logo gives a sporty finish.","['UK 8', 'UK 9']"
https://in.puma.com/in/en/pd/rs-x-glow-up-womens-sneakers/398510?swatch=02,RS-X Glow-UP Women's Sneakers,Extra 15% off at checkout,"₹10,999","₹4,729",Sneakers,"RS-X is back. This future-retro silhouette made waves when it dropped in 2018, celebrated for its disruptive design, fresh material mixes, and bold colours. Today, RS-X returns for a new generation of consumers who live to express their individuality. It's here to start a revolution of self-expression. This Glow-Up version features a textile upper with plenty of metallic details.","['UK 3.5', 'UK 4.5']"
https://in.puma.com/in/en/pd/scuderia-ferrari-r-cat-machina-driving-shoes/307893?swatch=01,Scuderia Ferrari R-Cat Machina Driving Shoes,Extra 15% off at checkout,"₹7,999","₹3,439",Shoes,"The racing DNA of Scuderia Ferrari drive the spirit of these driving shoes, which feature a low profile and lightweight midsole, perfect for racing or just long drives.","['UK 6', 'UK 7', 'UK 8']"
https://in.puma.com/in/en/pd/ca-pro-ripple-earth-sneakers/395773?swatch=13,CA Pro Ripple Earth Sneakers,Extra 15% off at checkout,"₹10,999","₹4,729",Sneakers,"Ever since the original PUMA California was released in the 1980s, the style made its mark on the streets. As a new addition to the California family, the CA Pro is picking up on that heritage. Layered, rippled, and stacked – it’s the CA Pro Ripple. This new twist on a classic has a boldly contoured design inspired by water ripples. This overall earth inspired execution features leather and suede overlays with decorative circular stitching and a ripple effect on the midsole.","['UK 3', 'UK 4', 'UK 6']"
https://in.puma.com/in/en/pd/flexrate-mens-sneakers/392754?swatch=03,Flexrate Men's Sneakers,Buy 2 & Get 50% off + Extra 40% Off,"₹4,499","₹2,019",Sneakers,"The Puma Flexrate Men's Sneakers will take your game to the next level with the ultimate fusion of classic style and modern design! With a sleek textile upper and contrast PUMA Formstrip, these sneakers are sure to turn heads on and off the court. The durable outsole provides superior traction, while the PUMA cat logo gives a sporty finish.","['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11']"
